Date,Sales
2023-01-01,2494
2023-01-02,828
2023-01-03,947
2023-01-04,1779
2023-01-05,1961
2023-01-06,2726
2023-01-07,391
2023-01-08,979
2023-01-09,2075
2023-01-10,2098
2023-01-11,2475
2023-01-12,1329
2023-01-13,812
2023-01-14,2895
2023-01-15,649
2023-01-16,830
2023-01-17,2417
2023-01-18,2199
2023-01-19,2911
2023-01-20,2927
2023-01-21,433
2023-01-22,1607
2023-01-23,971
2023-01-24,2853
2023-01-25,2705
2023-01-26,1102
2023-01-27,2637
2023-01-28,2569
2023-01-29,873
2023-01-30,1499
2023-01-31,1502
2023-02-01,1908
2023-02-02,1364
2023-02-03,120
2023-02-04,727
2023-02-05,1891
2023-02-06,519
2023-02-07,1488
2023-02-08,294
2023-02-09,835
2023-02-10,1107
2023-02-11,1354
2023-02-12,444
2023-02-13,523
2023-02-14,2358
2023-02-15,2708
2023-02-16,2297
2023-02-17,1890
2023-02-18,1569
2023-02-19,361
2023-02-20,1018
2023-02-21,548
2023-02-22,861
2023-02-23,925
2023-02-24,2277
2023-02-25,946
2023-02-26,1073
2023-02-27,791
2023-02-28,155
2023-03-01,2215
2023-03-02,1498
2023-03-03,1530
2023-03-04,2368
2023-03-05,2876
2023-03-06,2343
2023-03-07,893
2023-03-08,1256
2023-03-09,1570
2023-03-10,1365
2023-03-11,170
2023-03-12,1820
2023-03-13,857
2023-03-14,1349
2023-03-15,1937
2023-03-16,1700
2023-03-17,2281
2023-03-18,1654
2023-03-19,2692
2023-03-20,1552
2023-03-21,2954
2023-03-22,2113
2023-03-23,698
2023-03-24,1588
2023-03-25,267
2023-03-26,978
2023-03-27,754
2023-03-28,949
2023-03-29,1571
2023-03-30,431
2023-03-31,2427
2023-04-01,171
2023-04-02,950
2023-04-03,295
2023-04-04,2381
2023-04-05,2410
2023-04-06,371
2023-04-07,1688
2023-04-08,2051
2023-04-09,1512
2023-04-10,891
2023-04-11,574
2023-04-12,1297
2023-04-13,2597
2023-04-14,866
2023-04-15,2525
2023-04-16,309
2023-04-17,1033
2023-04-18,458
2023-04-19,1548
2023-04-20,1429
2023-04-21,1709
2023-04-22,1157
2023-04-23,2023
2023-04-24,973
2023-04-25,1271
2023-04-26,2901
2023-04-27,1537
